�3 04060952.csv,,Lenta-847,1614545971,120
Name,10CT G PBP -1/+1:   --- EKC состояние,10CT G PBP -1/+1:   u09 S5 Темп,11CT G OVZ +5/+8:   u69 Sair Темп,11CT G OVZ +5/+8:   u09 S5 Темп,11CT G OVZ +5/+8:   --- EKC состояние,12CT G GSR +2/+4:   u09 S5 Темп,12CT G GSR +2/+4:   u69 Sair Темп,12CT G GSR +2/+4:   --- EKC состояние,13CT G PBP -1/+1:   u69 Sair Темп,13CT G PBP -1/+1:   --- EKC состояние,13CT G PBP -1/+1:   u09 S5 Темп,14HT SH IKRA -4/-8:   u09 S5 Темп,14HT SH IKRA -4/-8:   --- EKC состояние,14HT SH IKRA -4/-8:   u17 Термостат,15CT G MSO -1/+1:   u09 S5 Темп,15CT G MSO -1/+1:   --- EKC состояние,15CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u09 S5 Темп,16CT G MSO -1/+1:   --- EKC состояние,17CT G GSR +2/+4:   u09 S5 Темп,17CT G GSR +2/+4:   --- EKC состояние,17CT G GSR +2/+4:   u69 Sair Темп,18CT G PTO -1/+1:   u69 Sair Темп,18CT G PTO -1/+1:   u09 S5 Темп,18CT G PTO -1/+1:   --- EKC состояние,19CT G GSR +2/+4:   --- EKC состояние,19CT G GSR +2/+4:   u09 S5 Темп,19CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   u09 S5 Темп,20CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   --- EKC состояние,21CT G GSR +2/+4:   u09 S5 Темп,21CT G GSR +2/+4:   u69 Sair Темп,21CT G GSR +2/+4:   --- EKC состояние,22CT G GSR +2/+4:   u09 S5 Темп,22CT G GSR +2/+4:   u69 Sair Темп,22CT G GSR +2/+4:   --- EKC состояние,23CT V MSO -1/+1:   --- EKC состояние,23CT V MSO -1/+1:   u69 Sair Темп,23CT V MSO -1/+1:   u09 S5 Темп,24CT V GSR +2/+4:   --- EKC состояние,24CT V GSR +2/+4:   u69 Sair Темп,24CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u69 Sair Темп,25CT V GSR +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u09 S5 Темп,26CT G MLK +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   --- EKC состояние,27CT G MLK +2/+4:   u09 S5 Темп,28CT G MLK +2/+4:   --- EKC состояние,28CT G MLK +2/+4:   u69 Sair Темп,28CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u69 Sair Темп,29CT G MLK +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u09 S5 Темп,30CT G GSR +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   u09 S5 Темп,34CT G TRT +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   --- EKC состояние,52CT K PTO -1/+1:   u09 S5 Темп,52CT K PTO -1/+1:   u17 Термостат,52CT K PTO -1/+1:   --- EKC состояние,53K VOP POD PTO:   u17 Термостат,53K VOP POD PTO:   u09 S5 Темп,53K VOP POD PTO:   --- EKC состояние,54K VOP FAS GSR:   --- EKC состояние,54K VOP FAS GSR:   u09 S5 Темп,54K VOP FAS GSR:   u17 Термостат,55CT K GSR +2/+4:   u17 Термостат,55CT K GSR +2/+4:   u09 S5 Темп,55CT K GSR +2/+4:   --- EKC состояние,56CT K COF +5/+8:   u17 Термостат,56CT K COF +5/+8:   u09 S5 Темп,56CT K COF +5/+8:   --- EKC состояние,Gazoanalyzator:   Gas Level %,Gazoanalyzator:   Gas Level Ppm,111CT AG:   Comp A Pressure,111CT AG:   Перегрев A,111CT AG:   Comp A Req Cap,111CT AG:   Comp 2A Status,111CT AG:   Comp 3A Status,111CT AG:   Comp 1A Status,111CT AG:   Comp A Reference,111CT AG:   Comp A Capacity,111CT AG:   Cond Requested Cap,111CT AG:   Cond Running Cap,111CT AG:   Cond Ctrl Pressure,111CT AG:   Sc3 Датч нар воздуха,111CT AG:   Cond Reference
 20:22:00  08/03/2021,0,-14.39,7.39,8.00,11,0.89,3.22,11,0.61,11,0.00,-60.00,11,-6.89,-6.72,11,4.39,1.89,1.11,11,-8.00,0,-0.61,0.28,0.28,0,11,0.00,1.28,0.11,2.28,11,6.89,8.11,0,9.39,10.11,0,1,9.78,12.72,14,3.89,-1.11,6.61,6.50,14,1.78,0,4.22,3.89,11,2.50,0,4.78,4.00,2.39,3.78,11,-21.28,0,3.28,2.11,2.61,11,-1.50,-0.50,11,10.22,9.89,11,11,17.28,17.22,3.11,3.11,11,3.61,3.50,11,13.60,139,0.99,27.89,32,1,1,3,0.60,38,0,0,7.95,-4.28,14.77
 20:24:00  08/03/2021,11,-16.89,8.00,9.22,11,2.61,4.22,0,1.78,11,2.72,-60.00,0,-4.28,-0.72,11,5.50,0.89,1.11,0,-8.00,0,-0.28,-0.50,-0.28,0,0,1.61,2.22,2.89,3.11,11,7.50,8.61,0,9.72,10.39,0,1,9.78,12.11,14,4.22,-1.11,6.89,6.78,14,2.50,0,4.22,5.11,0,2.00,0,5.28,0.50,2.00,4.50,0,-1.89,0,3.28,-0.89,4.50,0,-0.39,-0.22,11,10.72,10.50,11,11,17.61,17.22,3.39,3.39,11,4.00,4.11,11,13.60,139,0.53,33.22,39,3,1,3,0.60,50,0,0,8.37,-4.28,14.77
 20:26:00  08/03/2021,11,-0.89,7.72,5.89,0,-2.00,3.78,0,2.39,0,3.11,-60.00,11,-4.89,4.00,11,7.22,-1.11,-4.39,11,-14.22,0,-0.28,-2.89,-5.28,11,0,3.00,3.22,3.50,4.50,0,8.89,9.39,0,10.11,10.39,0,1,9.11,10.22,14,4.50,-0.50,7.22,7.11,14,3.28,0,5.22,6.89,0,1.50,0,5.28,3.11,2.72,6.72,0,-0.89,0,4.11,-4.78,4.50,0,0.22,-0.22,11,11.28,10.89,0,11,17.61,17.61,3.39,3.39,11,4.28,4.50,11,13.60,139,1.45,22.56,82,3,3,3,0.60,81,0,0,8.54,-5.72,14.77
 20:28:00  08/03/2021,11,3.78,5.39,-8.22,11,-12.39,1.11,11,0.72,0,-12.39,-60.00,11,-6.89,6.39,11,8.11,0.22,-0.61,11,-9.72,11,-3.22,-2.22,-2.89,11,0,-12.78,1.22,-11.11,3.50,0,-4.50,5.89,0,-0.39,9.28,0,1,8.72,8.61,14,4.50,-0.50,7.50,7.39,14,-8.39,0,2.50,4.22,0,-9.61,0,2.11,-8.22,-9.11,3.72,0,-10.11,0,3.00,-12.39,2.28,0,0.89,0.22,11,11.00,0.50,0,11,17.61,17.61,3.39,3.72,11,4.28,4.50,11,13.60,139,1.91,19.89,100,3,3,3,0.60,100,0,0,14.24,-5.72,14.77
 20:30:00  08/03/2021,0,-0.72,4.39,-6.61,11,-2.61,1.61,11,-1.00,11,-11.39,-60.00,0,-4.28,8.00,11,8.50,1.61,0.72,11,-2.61,11,-2.00,-0.39,-0.11,11,11,-17.28,-1.11,-20.61,0.78,11,1.61,5.89,0,4.22,8.89,0,1,8.28,7.22,14,4.50,-0.50,7.50,7.39,14,-4.72,11,1.78,2.89,0,-2.00,11,2.11,-0.72,-8.61,1.78,11,-2.61,0,3.00,-2.39,1.00,11,1.28,0.50,11,9.72,-5.50,0,11,17.89,17.61,3.72,3.72,11,4.72,4.89,11,13.60,139,0.35,31.56,0,1,1,1,0.60,0,0,0,10.76,-5.72,14.77
 20:32:00  08/03/2021,0,-16.22,4.78,0.89,11,-0.22,3.00,11,-0.22,11,-0.72,-60.00,11,-6.00,9.00,11,8.78,0.72,-7.78,0,-0.72,0,0.11,-0.39,-1.22,0,11,-0.78,-0.28,-4.22,0.78,11,6.28,7.00,0,7.78,9.22,0,1,7.89,6.50,14,4.78,-0.22,7.89,7.78,14,0.72,11,3.50,3.28,0,0.50,11,3.11,2.78,0.39,2.78,11,0.11,0,3.61,-0.39,1.78,11,1.72,0.78,11,8.78,-3.61,11,11,17.89,17.61,3.72,3.72,11,4.72,4.89,11,13.60,139,1.77,22.28,38,1,1,3,0.60,38,0,0,9.03,-5.72,14.77
 20:34:00  08/03/2021,11,-10.89,5.28,4.50,11,1.89,4.11,0,0.78,11,1.28,-60.00,11,-6.61,9.39,0,9.11,0.11,-1.61,11,-1.50,0,0.39,-0.39,-1.22,0,11,-0.22,1.22,-0.28,1.89,11,8.39,8.28,0,9.11,9.61,0,1,7.89,5.89,14,4.78,-0.22,7.89,7.78,14,2.78,0,4.78,4.11,0,1.39,0,5.89,2.78,2.00,4.22,0,1.39,0,4.50,2.72,2.72,11,2.11,1.22,11,8.50,2.28,11,11,17.89,17.89,3.72,3.72,11,5.00,5.28,11,13.60,139,0.77,31.44,31,1,1,3,0.60,31,0,0,7.90,-5.72,14.77
 20:36:00  08/03/2021,11,-0.11,6.11,6.00,11,1.11,3.72,0,2.00,11,2.72,-60.00,11,-3.78,-5.28,11,6.22,1.39,0.22,11,-12.00,0,0.39,-1.89,-1.50,0,0,0.78,2.39,2.00,2.78,11,9.11,9.11,0,9.72,10.00,0,1,7.50,5.61,14,5.11,0.11,8.22,8.22,14,3.22,0,5.89,4.89,0,3.61,0,8.72,1.50,3.00,5.22,0,2.78,0,5.28,-6.22,4.39,0,2.11,1.22,11,8.78,5.00,11,11,17.89,17.89,4.00,4.00,11,5.00,5.28,11,13.60,139,0.97,29.50,46,1,3,3,0.60,50,0,0,7.43,-6.22,14.77
 20:38:00  08/03/2021,0,5.00,6.72,6.89,11,-15.72,0.39,11,1.11,0,-9.39,-60.00,11,-6.39,-3.00,11,6.72,1.39,-0.72,0,-14.50,0,-1.61,-3.61,-8.61,11,0,-13.78,0.50,3.28,3.39,11,6.22,8.11,0,4.28,9.50,0,1,7.50,5.61,14,5.11,0.11,8.22,8.22,14,-6.50,0,4.72,4.00,0,-8.78,0,4.78,-5.72,-7.39,4.89,0,-8.39,0,4.89,-15.00,1.61,11,2.61,1.61,11,9.28,7.28,11,0,13.00,17.89,4.00,4.00,0,5.28,5.61,11,13.60,139,1.97,18.33,100,3,3,3,0.60,100,0,0,12.14,-6.22,14.77
 20:40:00  08/03/2021,0,-12.61,7.39,7.50,11,-3.78,0.89,11,-0.89,11,-17.22,-60.00,11,-6.78,3.72,11,7.72,-2.72,-13.72,11,-9.22,11,-2.89,-1.39,-1.78,11,11,-16.11,-1.50,-1.89,4.11,0,-3.61,4.78,0,3.78,9.00,0,1,7.50,5.22,14,5.11,0.50,8.50,8.61,14,-13.00,11,-0.39,0.78,11,-13.78,11,0.50,-8.28,-12.28,0.00,11,-15.50,0,2.39,-2.00,0.78,11,2.61,1.61,11,9.72,8.89,11,0,3.50,17.00,3.11,-2.00,0,5.28,5.61,11,13.60,139,0.95,24.67,95,3,3,3,0.60,95,0,0,14.33,-6.22,14.77
 20:42:00  08/03/2021,0,-16.89,7.89,8.50,11,-0.39,2.39,11,-0.39,11,-1.78,-60.00,11,-4.22,6.50,11,8.28,-0.39,-2.00,11,-0.72,11,-0.11,0.11,0.22,0,11,-1.11,-0.39,-21.89,1.22,11,2.89,5.78,0,7.11,9.00,0,0,6.11,2.22,14,5.11,0.50,8.50,8.61,14,-4.11,11,1.89,1.72,11,0.28,11,1.78,0.11,0.11,1.39,11,-6.22,0,2.39,-0.50,1.72,11,2.89,2.00,11,10.22,9.78,11,11,3.50,14.89,1.72,-1.61,11,5.61,5.61,11,13.60,139,0.95,17.06,0,1,1,1,0.60,0,0,0,9.33,-6.22,14.77
 20:44:00  08/03/2021,11,-1.72,7.89,8.50,0,1.22,3.72,11,0.61,11,0.11,-60.00,11,-6.89,8.39,11,8.72,1.00,0.28,11,-8.61,0,-0.61,-2.22,-5.50,11,11,-0.39,1.00,-7.61,1.22,11,6.50,7.11,0,8.78,9.61,0,0,3.39,-6.89,14,5.11,0.50,8.89,8.89,14,0.72,11,3.39,2.89,11,1.00,11,3.11,3.39,0.89,2.78,11,0.00,0,2.89,2.28,2.50,11,0.00,2.00,0,10.72,10.50,11,11,12.22,14.89,1.72,0.72,11,5.61,5.61,11,13.60,139,1.35,19.06,36,1,1,3,0.60,37,0,0,8.63,-6.22,14.77
 20:46:00  08/03/2021,11,2.61,7.61,5.00,0,0.72,3.72,0,1.72,11,2.39,-60.00,0,-4.72,9.22,11,9.00,2.11,1.39,0,-2.11,0,-0.11,-1.39,-2.22,11,0,0.50,1.72,-0.89,1.89,11,8.22,8.00,0,9.50,9.89,0,0,1.78,-8.22,14,5.11,0.50,8.89,8.89,14,2.50,0,4.22,3.72,11,3.22,0,6.22,0.22,2.72,3.89,11,1.89,0,3.78,-3.28,4.61,0,0.89,1.61,0,11.11,10.50,0,11,14.61,14.89,2.11,2.00,11,5.61,6.00,11,13.60,139,1.05,22.06,50,1,1,3,0.60,50,0,0,7.56,-6.22,14.77
 20:48:00  08/03/2021,0,1.22,7.00,2.61,0,-0.28,3.72,0,2.22,0,3.22,-60.00,11,-5.11,-4.28,11,6.28,-0.11,0.28,11,-9.22,0,-0.11,0.11,0.11,0,0,2.22,2.50,2.00,2.78,11,9.22,8.89,0,9.89,10.22,0,0,2.28,-2.22,4,5.11,0.89,8.89,9.22,4,3.22,0,4.89,5.39,0,1.61,0,5.00,2.39,2.28,4.72,0,3.11,0,4.72,-13.89,3.72,0,0.89,1.61,0,11.11,6.00,0,11,15.61,15.28,2.50,2.61,11,5.61,6.00,11,13.60,139,1.59,14.83,79,3,3,3,0.60,83,0,0,8.29,-6.22,14.77
 20:50:00  08/03/2021,0,-15.72,4.72,-9.00,11,-12.11,0.89,11,0.61,0,-11.50,-60.00,11,-7.28,-3.00,11,6.28,-0.78,-2.50,11,-9.50,11,-2.28,-2.28,-7.78,11,0,-12.72,0.78,3.28,3.61,11,-3.50,5.78,0,-0.61,8.89,0,0,2.28,-8.89,4,5.11,1.28,9.28,9.22,4,-8.22,0,2.78,3.61,0,-9.50,11,1.78,-8.28,-6.89,2.39,0,-7.50,0,4.00,-13.22,1.39,11,-4.50,0.61,0,10.50,-3.00,0,11,16.22,15.61,2.78,2.89,11,6.00,6.00,11,13.60,139,1.46,22.06,100,3,3,3,0.60,100,0,0,14.37,-6.22,14.77
 20:52:00  08/03/2021,11,-14.22,3.89,-6.89,11,-3.72,1.28,11,-1.00,11,-12.39,-60.00,11,-4.11,3.39,11,7.28,0.78,0.22,11,-4.89,11,-2.89,-3.28,-7.28,11,11,-15.61,-1.61,-8.61,3.61,0,0.11,5.11,0,4.00,8.61,0,0,-1.28,-27.28,0,5.11,1.28,9.28,9.22,0,-5.61,11,1.00,1.50,14,-4.50,14,1.78,-0.50,-0.89,1.72,11,-9.78,0,3.11,-1.22,0.72,11,-5.50,-0.50,11,9.28,-6.61,0,11,16.61,16.11,3.11,3.22,11,6.00,6.00,11,13.60,139,1.05,21.44,0,3,3,1,0.60,0,0,0,13.60,-6.22,14.77
 20:54:00  08/03/2021,11,-0.50,4.39,0.28,11,-0.39,2.72,11,-0.22,11,-0.78,-60.00,11,-6.22,6.39,11,8.22,2.00,1.61,0,-0.61,11,0.11,-0.89,-0.89,11,11,-0.89,-0.39,-9.50,1.89,11,5.28,6.72,0,7.39,9.00,0,11,-2.28,-11.28,0,2.39,-0.50,1.89,8.22,0,0.22,11,3.22,2.61,14,0.61,14,3.22,2.78,0.72,3.22,11,-0.22,0,3.61,-0.39,1.61,11,-1.89,-0.50,11,8.39,-1.28,11,11,16.89,16.39,3.11,3.22,11,5.28,3.00,0,13.60,139,2.10,15.89,38,1,1,3,0.60,38,0,0,9.41,-6.22,14.77
 20:56:00  08/03/2021,11,4.61,5.00,4.22,11,1.28,3.72,11,0.72,11,0.78,-60.00,0,-5.28,8.22,11,8.61,-0.11,-4.50,11,-5.61,0,0.11,0.28,0.28,0,11,-0.28,1.00,-1.28,2.28,11,7.78,7.89,0,9.00,9.39,0,11,-1.39,-8.89,0,2.39,-0.50,3.50,7.11,0,2.28,0,4.22,3.72,14,2.00,14,4.22,4.72,1.00,4.22,0,1.72,0,4.39,2.61,2.72,11,-0.50,-0.50,11,8.39,3.50,11,14,16.89,16.72,3.39,3.50,11,3.78,2.28,11,13.60,139,0.72,29.44,31,1,1,3,0.60,31,0,0,8.89,-6.22,14.77
 20:58:00  08/03/2021,0,0.78,5.78,6.00,11,0.89,4.00,0,1.72,11,2.61,-60.00,11,-4.61,9.00,11,8.89,0.78,0.00,11,-7.78,0,0.11,0.61,0.28,0,0,0.61,1.89,0.89,2.89,11,9.00,8.61,0,9.61,9.78,0,11,-0.22,-4.28,0,3.11,-0.50,6.11,7.11,0,3.28,0,4.78,4.39,14,4.89,14,4.89,5.28,2.39,4.72,0,3.11,0,5.00,-1.22,4.61,0,0.22,-0.11,11,8.78,5.89,11,14,17.22,17.00,3.39,3.50,11,3.78,3.61,11,13.60,139,0.72,29.17,36,1,1,3,0.60,36,0,0,7.86,-6.22,14.77
 21:00:00  08/03/2021,0,-15.50,6.61,6.72,11,-1.78,3.22,0,1.72,0,2.61,-60.00,11,-7.11,1.89,0,7.28,2.11,1.28,0,-17.00,0,-0.39,-1.89,-2.89,0,0,2.28,2.72,3.11,3.78,11,9.61,9.39,0,10.00,10.22,0,0,0.78,-2.28,0,3.61,-0.22,7.11,7.61,0,2.78,0,6.72,5.28,14,5.72,14,5.61,5.61,3.11,6.89,0,3.11,0,6.61,-9.22,4.22,0,0.72,-0.11,11,9.39,7.89,11,14,17.22,17.00,3.72,3.78,11,4.28,4.39,11,13.60,139,1.41,26.06,75,3,1,3,0.60,69,0,0,8.16,-6.22,14.77
 21:02:00  08/03/2021,11,-15.50,7.22,7.28,11,-14.61,0.11,11,-0.11,0,-14.22,-60.00,0,-4.22,-7.50,11,5.22,-2.50,-15.61,11,-12.72,11,-4.22,-3.89,-9.50,11,0,-14.78,0.22,-5.50,3.78,0,-5.22,5.50,0,-0.50,8.89,0,0,0.78,-9.22,0,1.89,-1.00,-2.11,5.89,0,-10.22,0,2.28,5.89,14,6.11,14,6.11,5.89,-9.39,3.28,0,-10.11,0,4.89,-13.78,1.39,11,1.11,0.39,11,9.78,9.00,11,14,17.50,17.28,3.72,3.78,11,4.61,4.39,11,13.60,139,1.12,23.28,100,3,3,3,0.60,99,0,0,13.25,-6.22,14.77
 21:04:00  08/03/2021,11,-0.72,7.72,7.89,11,-2.39,0.89,11,-0.89,11,-5.22,-60.00,11,-6.22,0.00,11,6.39,-1.28,-3.78,11,-2.39,11,-1.50,-1.89,-2.39,11,11,-15.78,-1.72,-22.50,0.89,11,-0.11,5.22,0,3.72,8.61,0,11,-2.22,-20.61,0,-1.39,-4.72,-12.22,0.11,11,-13.89,11,-1.11,6.28,14,6.11,14,6.50,5.89,-5.28,0.28,11,-7.78,0,3.61,-4.28,0.28,11,1.50,0.39,11,10.28,9.89,11,14,17.50,17.28,3.72,3.78,11,4.61,4.89,11,13.60,139,1.71,24.94,0,1,2,1,0.60,0,0,0,10.27,-6.22,14.77
 21:06:00  08/03/2021,11,4.11,8.11,8.89,0,-0.28,2.50,11,0.00,11,-0.50,-60.00,11,-6.22,4.28,11,7.39,0.39,0.11,11,-0.61,0,0.22,-0.22,0.00,11,11,-1.00,-0.61,-8.61,0.39,11,5.11,6.50,0,7.28,8.89,0,11,-2.22,-12.00,0,-1.11,-5.89,-2.61,0.61,11,-2.89,11,1.72,6.72,14,6.39,14,6.89,6.22,0.39,1.78,11,-1.00,0,3.61,-0.61,1.22,11,1.78,1.00,11,10.78,10.50,11,14,17.50,17.61,3.72,3.78,11,5.00,4.89,11,13.60,139,1.03,30.06,26,1,1,3,0.60,34,0,0,7.90,-6.72,14.77
 21:08:00  08/03/2021,0,-2.78,7.39,3.11,0,1.39,3.72,11,1.11,11,1.50,-60.00,0,-4.00,6.50,11,8.22,1.89,0.89,11,-16.89,11,-2.78,-0.78,-0.28,0,11,-0.28,0.78,-1.11,1.28,11,7.50,7.78,0,8.89,9.28,0,11,-0.61,-6.11,0,0.50,-3.00,1.28,2.28,11,0.78,11,3.28,7.11,14,6.39,14,6.89,6.22,1.61,3.28,11,-2.72,0,4.11,0.89,2.22,11,2.11,1.28,11,11.11,10.22,0,14,17.78,17.61,4.00,4.11,11,5.00,5.28,11,13.60,139,0.82,29.39,43,1,1,3,0.60,38,0,0,7.99,-6.72,14.77
 21:10:00  08/03/2021,0,-15.89,7.39,2.78,0,1.39,4.11,0,2.11,11,3.00,-60.00,11,-6.39,8.22,11,8.61,2.28,1.61,0,-1.50,11,-0.78,0.00,-0.28,0,0,0.50,1.89,1.22,2.22,11,8.50,8.61,0,9.39,9.72,0,0,0.28,-3.11,0,1.39,-1.72,3.50,3.50,11,2.50,0,4.28,7.11,14,6.78,14,7.39,6.72,1.61,4.28,0,0.00,0,4.61,3.22,4.00,0,2.11,1.28,11,10.39,-0.28,0,14,17.78,17.61,4.00,4.11,0,5.28,5.28,11,13.60,139,1.05,28.83,50,1,1,3,0.60,38,0,0,7.38,-6.72,14.77
 21:12:00  08/03/2021,11,-11.89,6.50,-1.50,0,-3.72,3.39,0,2.11,0,-2.39,-60.00,0,-5.78,9.00,11,8.89,-0.50,-9.72,11,-8.78,0,0.22,-2.00,-6.39,11,0,0.50,1.89,3.00,3.11,11,8.50,8.89,0,8.61,9.72,0,0,1.22,-1.28,0,1.89,-1.28,3.50,4.28,0,-0.11,0,4.28,7.61,14,6.78,14,7.39,7.00,-1.78,4.28,0,-3.11,0,5.11,-10.28,3.50,0,2.50,1.72,11,9.39,-5.22,0,14,17.78,17.89,3.28,2.39,0,5.28,5.61,11,13.60,139,1.84,19.00,100,3,3,3,0.60,97,0,0,10.36,-6.72,14.77
 21:14:00  08/03/2021,11,-0.39,4.50,-10.28,11,-12.28,0.61,11,0.11,0,-16.72,-60.00,11,-4.78,1.78,11,7.11,-2.11,-5.89,11,-10.61,11,-3.39,-3.89,-8.78,11,0,-17.50,-0.22,3.28,4.00,11,-4.50,5.00,0,1.72,8.72,0,0,0.22,-13.72,0,-1.78,-5.72,-6.89,0.00,11,-10.11,11,-0.28,7.61,14,6.78,14,7.78,7.00,-10.78,0.50,11,-11.28,0,3.11,-13.00,0.78,11,2.78,1.72,11,8.72,-0.72,14,14,17.78,17.89,2.22,-2.89,0,5.28,5.61,11,13.60,139,1.49,23.50,100,3,3,3,0.60,100,24,0,15.50,-6.72,14.77
 21:16:00  08/03/2021,14,5.00,4.22,-3.61,11,-1.28,1.50,11,-0.89,11,-5.11,-60.00,11,-7.11,-6.22,11,3.89,0.11,-0.11,11,-2.00,11,-1.61,-1.89,-2.00,11,11,-6.11,-1.50,-13.28,2.72,0,3.00,5.72,0,5.78,8.72,0,11,-3.11,-20.39,11,-2.39,-8.50,-6.28,-0.78,11,-5.39,11,1.28,7.89,14,7.11,14,7.78,7.28,-0.22,1.28,11,-4.89,0,3.11,-0.78,0.78,11,-1.28,1.72,0,8.72,4.11,14,14,18.11,17.89,1.39,-0.78,11,5.61,5.61,11,13.60,139,0.90,24.17,0,1,1,1,0.60,0,0,0,9.16,-6.72,14.77
 21:18:00  08/03/2021,14,6.78,4.72,2.22,11,0.00,2.78,11,-0.11,11,-0.50,-60.00,0,-3.78,0.50,11,5.61,1.50,0.72,11,-3.22,0,0.22,-0.22,0.11,11,11,-0.50,-0.22,-4.50,1.78,11,5.89,6.89,0,8.28,9.22,0,11,-2.28,-10.28,0,0.22,-4.22,-0.78,0.78,11,0.11,11,3.28,7.89,14,7.11,14,8.11,7.61,0.72,2.89,11,-7.11,0,3.11,0.00,1.89,11,-1.78,0.61,0,9.28,6.72,14,14,18.11,17.89,1.78,1.39,11,5.61,5.89,11,13.60,139,1.25,24.17,38,1,1,3,0.60,37,0,0,7.95,-6.72,14.77
 21:20:00  08/03/2021,14,6.28,5.39,5.00,11,2.00,4.00,11,0.89,11,1.39,-60.00,11,-6.50,4.11,11,6.89,2.11,1.72,0,-7.39,0,-0.78,-0.22,0.11,0,11,-0.11,1.00,-0.89,2.28,11,7.78,7.89,0,9.28,9.61,0,11,-1.11,-5.72,0,0.89,-2.78,1.72,2.11,11,2.22,0,4.28,8.22,14,7.39,14,8.11,7.61,2.61,4.11,0,-6.11,0,3.50,3.28,2.89,11,-3.72,-0.39,11,9.61,8.61,14,14,18.11,17.89,2.22,2.22,11,5.89,5.89,11,13.60,139,0.74,31.11,36,1,1,3,0.60,36,0,0,7.47,-6.72,14.77
 21:22:00  08/03/2021,14,6.28,6.22,6.11,11,2.00,4.50,0,1.89,11,2.61,-60.00,0,-6.78,5.89,11,7.89,2.11,1.72,0,-1.50,0,0.39,-0.22,0.39,0,0,0.50,2.11,0.72,3.11,11,8.61,8.78,0,9.72,9.89,0,0,0.11,-3.61,0,1.61,-2.00,3.28,3.22,11,3.11,0,5.00,8.22,14,7.39,14,8.39,8.11,2.28,4.72,0,0.11,0,4.28,-0.39,4.39,0,-1.22,-0.39,11,10.11,9.78,14,14,18.11,18.22,2.72,2.78,11,5.89,6.22,11,13.60,139,0.84,31.56,45,3,1,3,0.60,50,0,0,7.56,-6.72,14.77
 21:24:00  08/03/2021,14,6.28,6.78,6.78,11,-6.11,3.11,0,1.39,0,-5.89,-60.00,11,-4.11,7.72,11,8.39,-0.78,-12.28,11,-12.22,0,-0.11,-2.39,-5.89,11,0,-1.72,1.39,3.22,3.78,11,6.72,8.39,0,3.50,9.61,0,0,0.89,-1.72,0,1.61,-1.72,4.22,4.00,0,-3.72,0,5.78,8.50,14,7.72,14,8.39,8.11,-2.89,5.22,0,-3.61,0,4.61,-10.22,3.11,0,-0.11,-0.39,11,10.61,10.50,14,14,18.11,18.22,2.72,2.78,11,5.89,6.22,0,13.60,139,1.97,18.06,100,3,3,3,0.60,100,0,0,12.48,-6.72,14.77
 21:26:00  08/03/2021,14,6.28,7.39,7.28,11,-11.61,0.78,11,-0.78,11,-17.28,-60.00,11,-6.89,8.72,11,8.72,-1.89,-6.28,11,-12.22,11,-4.28,-3.72,-8.72,11,11,-15.39,-0.89,-5.72,3.78,0,-5.22,4.28,0,0.00,8.28,0,0,-0.89,-13.39,11,-2.89,-7.89,-7.39,0.28,11,-13.72,11,-0.89,8.50,14,7.72,14,8.72,8.39,-12.72,0.28,11,-12.28,0,2.28,-9.28,0.50,11,0.50,0.00,11,11.00,10.89,14,14,18.11,18.22,3.22,3.22,11,4.22,-0.50,0,13.60,139,1.07,27.67,96,3,3,3,0.60,97,1,0,14.46,-6.72,14.77
 21:28:00  08/03/2021,14,6.28,7.78,8.00,11,-1.22,1.89,11,-0.78,11,-2.61,-60.00,0,-3.61,9.11,11,8.72,0.11,-0.22,11,-1.61,11,-0.89,-1.50,-2.11,11,11,-5.11,-0.89,-10.89,1.61,11,2.61,5.50,0,5.22,8.28,0,11,-2.61,-17.78,11,-1.72,-7.89,-4.78,-0.39,11,-5.89,11,1.00,8.50,14,7.72,14,8.72,8.39,0.22,1.39,11,-1.28,0,2.61,-0.72,0.78,11,1.00,0.28,11,11.39,11.39,14,14,18.39,18.22,3.22,3.22,11,3.00,0.50,11,13.60,139,1.97,16.83,19,1,1,1,0.60,0,0,0,7.30,-6.72,14.77
